GEOID10,P0010001,District
481872108011028,0,4
481872108041046,0,4
481872108041045,0,4
481872103002010,42,3
481872103003017,13,4
481872108013024,10,1
481872103003020,74,4
481872103003023,53,4
481872105041070,0,8
481872104002036,0,5
481872108011070,40,4
481872108013007,31,1
481872102001016,47,3
481872102001026,8,2
481872102001034,0,2
481872102002021,0,2
481872102003002,0,2
481872102003000,15,2
481872101003010,19,2
481872101002027,33,6
481872102003040,12,3
481872102003004,55,2
481872102004004,48,2
481872102003032,0,2
481872102004001,15,2
481872103005011,19,2
481872103005031,0,2
481872102003035,0,2
481872102004021,1,2
481872102004030,6,2
481872101003023,15,6
481872101004015,23,6
481872108031007,0,4
481872101004049,16,5
481872101004018,53,6
481872101004019,29,6
481872101004023,31,6
481872104002023,45,5
481872103005042,53,5
481872104002021,1,5
481872104002007,8,5
481872104001006,0,5
481872104002015,11,5
481872103004023,10,2
481872103002005,0,2
481872103004031,13,2
481872103004014,11,2
481872103004028,1,5
481872108011083,10,1
481872108012030,0,1
481872108012024,30,1
481872105042067,4,7
481872105042006,52,7
481872104002017,21,5
481872109011044,0,7
481872108011013,0,4
481872109022001,0,7
481872103002030,16,2
481872108011002,0,4
481872104001011,8,5
481872102002030,61,3
481872109022006,8,7
481872105041047,2,8
481872108011032,0,4
481872104003014,40,6
481872104003018,22,6
481872103003028,0,2
481872101002001,0,7
481872105041061,0,4
481872102001001,0,3
481872105062035,52,7
481872108013012,0,1
481872102001014,51,2
481872102001022,60,2
481872102001030,76,2
481872102001012,39,2
481872101002015,17,6
481872102003021,21,3
481872102003022,35,2
481872102004005,11,2
481872102004015,0,2
481872103004037,25,2
481872101004011,14,6
481872101004012,20,6
481872101004040,18,6
481872103005020,2,2
481872103005021,12,2
481872103004004,0,5
481872103005025,35,5
481872103005002,15,5
481872101001020,102,7
481872101002016,33,6
481872101002017,20,6
481872101002020,16,6
481872101002003,94,7
481872101002019,0,6
481872108041042,0,4
481872108041044,0,4
481872108041041,0,4
481872103005049,0,2
481872103005036,0,2
481872103005048,0,2
481872103005041,13,5
481872103005045,0,5
481872101002018,69,6
481872101002006,139,7
481872101003024,43,6
481872103003031,0,2
481872108011050,0,4
481872105041065,0,8
481872105042057,6,7
481872108011060,0,4
481872108011031,0,4
481872101004032,10,6
481872101004026,22,5
481872104002019,39,5
481872101003031,16,6
481872104003028,16,6
481872104003026,27,6
481872104003025,17,6
481872108031008,0,4
481872109022007,171,7
481872105041027,35,8
481872104001007,68,5
481872104003011,4,6
481872104001008,0,5
481872105041019,6,7
481872101002022,21,6
481872103002009,0,3
481872108011038,111,4
481872102002009,181,8
481872101002007,43,6
481872101002002,161,7
481872109011179,0,7
481872109011185,0,7
481872105041093,15,3
481872105041017,76,8
481872105042066,5,7
481872105042047,0,7
481872101001010,62,2
481872101001003,0,7
481872109022013,0,7
481872103005028,14,2
481872102002004,0,8
481872108011008,0,8
481872108011007,0,8
481872103001004,6,8
481872103003005,182,4
481872102002012,17,3
481872104003004,31,6
481872104003003,0,6
481872104003024,166,6
481872108011091,0,1
481872102004020,6,2
481872105041092,0,7
481872103001006,0,8
481872108013029,9,1
481872109011181,0,7
481872105082006,204,8
481872103003032,0,2
481872108012004,26,2
481872109021022,8,5
481872109021023,0,5
481872106061019,0,8
481872104001004,369,6
481872104002012,22,5
481872104002014,0,5
481872104002006,110,5
481872104001023,41,5
481872104002026,76,2
481872103004039,74,2
481872103004041,33,2
481872108012025,32,1
481872109022016,0,7
481872101002000,4,7
481872108012027,69,1
481872108012017,9,1
481872104003009,164,6
481872104001010,44,5
481872108011046,1,4
481872108011069,25,4
481872103004021,12,5
481872105041026,144,8
481872105042039,12,7
481872105041002,102,8
481872105041001,103,8
481872105042049,15,7
481872105042046,0,7
481872101003012,18,6
481872102002029,12,3
481872102003029,46,2
481872103002036,35,3
481872104002032,0,2
481872102002003,32,3
481872102002013,44,3
481872103001003,33,8
481872103003002,51,4
481872103003009,64,4
481872103003011,34,4
481872103003014,32,4
481872103002014,40,3
481872103002015,0,3
481872102003011,16,3
481872103001020,51,3
481872108013021,26,1
481872103003025,64,4
481872108013010,33,1
481872101002008,19,6
481872108013016,9,1
481872103004044,0,2
481872102001009,59,2
481872101002011,19,2
481872101002038,16,2
481872102004025,42,2
481872102003034,0,2
481872103002004,11,2
481872105042051,32,7
481872104001017,30,5
481872108011042,254,4
481872109021019,48,5
481872105042012,31,7
481872104002044,0,5
481872103004020,0,5
481872101001002,0,7
481872102003031,8,2
481872108011020,3,4
481872101001026,0,7
481872102001000,0,3
481872108011040,0,4
481872105082013,3,8
481872104002039,19,5
481872105042043,0,7
481872108011029,0,4
481872105082003,78,8
481872105041020,465,3
481872102001021,24,3
481872102004000,5,2
481872101004052,32,5
481872101004044,21,5
481872103004003,4,5
481872103005004,22,5
481872103004010,21,5
481872103005003,49,5
481872101002025,43,6
481872101002021,17,6
481872108013002,0,2
481872108013004,0,2
481872105041028,0,8
481872105042007,3,7
481872105042023,0,7
481872108011082,24,1
481872105041004,3,8
481872109011184,0,7
481872105042031,33,7
481872108011048,114,4
481872108011086,50,1
481872102002028,60,3
481872103002029,85,2
481872103004050,0,2
481872108013018,60,1
481872108011006,0,4
481872108013019,30,1
481872108013027,25,1
481872102001002,0,3
481872101001007,39,2
481872101001011,8,2
481872101003017,43,6
481872109022024,23,7
481872102001003,0,8
481872102002006,0,8
481872102002008,360,8
481872103001014,162,4
481872105041071,0,8
481872108013028,3,1
481872102002025,25,3
481872102003008,17,3
481872102002024,14,3
481872103001000,190,3
481872103003000,20,4
481872102003018,13,3
481872102003019,58,3
481872102004029,40,3
481872103001026,31,3
481872102004013,25,3
481872103002011,44,3
481872108013025,39,1
481872103003018,25,4
