GEOID10,P0010001,District
481872103004043,0,4
481872103004032,4,4
481872103004033,23,4
481872108012010,42,4
481872108011085,30,3
481872105041040,85,1
481872105041021,30,1
481872101001025,16,5
481872102001035,0,5
481872101001009,0,6
481872102003025,91,5
481872105041082,15,2
481872105082014,0,1
481872105082020,4,1
481872105042048,45,1
481872103002002,27,5
481872103002033,50,4
481872109021040,0,4
481872108011019,0,2
481872108012009,0,4
481872108011052,0,2
481872108013014,579,3
481872105041087,0,2
481872103004002,4,8
481872104003019,47,7
481872103003029,0,3
481872102001006,0,1
481872105042021,73,1
481872105042053,66,1
481872105041032,0,1
481872103003006,27,3
481872108013013,97,3
481872108011003,0,2
481872104002040,0,4
481872109011202,0,7
481872109021030,550,3
481872108012023,20,4
481872108012028,54,4
481872108011089,153,3
481872104003007,455,7
481872104003017,45,7
481872109022018,0,7
481872104003008,0,7
481872104001020,69,8
481872104001025,147,8
481872108011037,0,2
481872108011021,0,2
481872105042042,8,1
481872101001024,47,6
481872101003013,6,6
481872109021033,179,3
481872103004012,0,4
481872105042050,89,1
481872108011027,4,2
481872108011054,0,2
481872105041035,317,1
481872108011022,0,2
481872108011041,4,2
481872102002002,0,2
481872101001005,0,7
481872102001017,55,6
481872105041069,0,2
481872102003010,10,5
481872103001002,8,2
481872102003015,139,2
481872108011005,58,2
481872101002036,7,6
481872104001016,13,8
481872103004048,0,4
481872102002015,1,5
481872102002016,36,5
481872103001009,0,2
481872103003001,32,5
481872102003012,27,5
481872102003028,81,5
481872102004008,35,5
481872103001022,53,5
481872104002002,0,8
481872105041094,114,2
481872108011053,0,2
481872108011017,168,2
481872109022026,47,7
481872108011018,19,2
481872108011011,0,2
481872108011047,0,2
481872105042068,2,1
481872108013023,61,3
481872105041091,0,6
481872105042054,0,7
481872108011065,4,3
481872109022000,55,7
481872101004048,29,8
481872101004030,13,8
481872101004003,15,7
481872101004027,57,8
481872101004021,18,7
481872103004000,0,8
481872103004011,19,4
481872104002009,15,8
481872108012006,35,4
481872101004000,16,7
481872104001022,54,8
481872105041000,18,1
481872108013000,22,3
481872108011055,143,3
481872104002033,300,4
481872102002011,220,5
481872101001023,21,6
481872102001027,13,6
481872103005029,0,5
481872104002022,9,8
481872104002041,0,4
481872105042035,18,1
481872109021045,72,4
481872103003008,27,3
481872103003024,85,3
481872109021042,24,8
481872108013022,7,3
481872102002010,34,2
481872103003021,277,3
481872104002005,0,8
481872108011026,0,2
481872108011067,0,3
481872108041035,22,2
481872103002017,44,4
481872103002024,18,4
481872105041063,0,2
481872102002005,0,2
481872109022003,0,7
481872108013011,16,3
481872102001024,24,6
481872102001011,32,6
481872102001025,2,6
481872102001031,66,6
481872102001032,55,6
481872101001018,124,6
481872101002029,0,6
481872101003009,36,6
481872101002032,51,6
481872101002026,26,6
481872101003015,33,6
481872102004024,13,5
481872103005052,0,5
481872103005033,1,5
481872103004007,0,5
481872101003022,28,7
481872101004050,35,8
481872101004036,7,7
481872101004043,17,8
481872101003019,16,7
481872101004006,37,7
481872101004041,4,8
481872103005035,0,5
481872103004026,0,8
481872103005044,16,8
481872108012018,41,4
481872101004038,23,8
481872101004031,11,7
481872101004017,40,7
481872101004001,21,7
481872104002010,27,8
481872101004025,19,8
481872103002040,36,4
481872103004038,47,4
481872108041040,5,2
481872108041031,0,2
481872108041030,0,2
481872108041055,0,2
481872101001004,0,7
481872109021047,0,3
481872108011012,0,2
481872108011009,0,2
481872102002027,14,5
481872103001007,54,2
481872103003007,67,4
481872103003010,50,4
481872102003020,58,5
481872103001024,14,5
481872103003019,13,4
481872103002027,8,4
481872108013006,71,3
481872103002019,11,5
481872105041048,85,2
481872108012029,0,3
481872108012022,0,4
481872108013026,146,3
481872101001015,130,6
481872102003003,0,5
481872101002012,37,6
481872101002037,37,6
481872101003011,34,6
481872102003039,39,5
481872102003038,15,5
481872104002004,0,8
481872104002000,0,8
481872103002038,31,4
481872103004022,0,4
481872103004036,13,4
481872103004046,31,4
481872103004030,7,8
481872104002030,31,4
481872108013005,9,3
481872109021018,98,8
481872109021041,150,4
481872109021013,89,8
481872108011051,0,2
481872108012012,50,4
481872108012013,27,4
481872104001000,42,8
481872104002038,11,4
481872104001026,0,8
481872101002004,56,6
481872109022002,0,7
481872105041024,187,1
481872105041059,15,2
481872104003000,26,7
481872105042052,51,1
481872103002041,86,4
481872103002026,131,4
481872108011087,44,3
481872108011035,0,2
481872105041018,25,1
481872105042034,228,1
481872104002042,0,4
481872105041090,0,1
481872101001013,62,6
481872104002018,17,8
481872101004028,38,8
481872102002007,0,2
481872102002032,0,2
481872102003014,26,5
481872108011004,0,2
481872108011000,0,2
481872104001003,0,8
481872102002031,8,5
481872102003007,22,5
481872108031003,0,2
481872108031001,0,2
481872101002009,78,6
481872101002024,27,6
481872101003016,42,6
481872101003025,22,7
481872104003020,0,7
481872104003022,0,7
481872101003032,31,7
481872108012019,37,4
481872108011036,0,2
481872105041005,38,1
481872105041029,2,1
481872103004029,0,8
481872103004034,65,4
481872109022020,134,7
481872109022023,183,7
481872105041078,0,2
481872105042025,502,7
481872105042056,10,7
481872108031016,0,2
481872102003037,4,5
481872102004032,33,5
481872102004033,71,5
481872103004009,4,5
481872103005009,0,5
481872103005018,1,5
481872103005034,0,5
481872103004015,11,5
481872101004008,22,7
481872101004055,28,8
481872101004014,12,7
481872101004033,15,7
481872103005007,33,8
481872103005023,30,8
481872103004025,0,8
481872103005037,0,8
481872103004019,7,4
481872103005040,43,8
481872101003004,0,6
481872101003027,16,7
481872101003026,22,7
481872101002005,106,6
481872103003033,0,3
481872108011010,0,2
481872103001013,86,2
481872105041031,0,1
481872105042045,0,1
481872109021021,29,8
481872109022017,0,7
481872103002000,3,5
481872103004013,20,5
481872102003024,20,5
481872103004049,0,4
481872102001033,23,6
481872105041089,0,6
481872102003030,31,5
481872103005027,6,5
481872105041042,0,1
481872104002034,14,4
481872105041003,66,1
481872108041036,1,2
481872103002025,5,4
481872105042029,0,7
481872104002035,11,4
481872104001013,26,8
481872108013017,15,3
481872109022015,0,7
481872108011071,134,2
481872105041058,0,2
481872105042059,11,1
481872105041066,0,2
481872108011045,28,2
481872105042041,67,1
481872105041015,76,1
481872102002026,40,5
481872103003012,30,4
481872103003015,18,4
481872103002013,70,5
481872102004007,21,5
481872102003017,53,5
481872102004010,0,5
481872103002032,286,4
481872103002020,29,4
481872103001025,0,5
481872104002028,0,4
481872102001004,0,2
481872108011014,0,2
481872108013020,69,3
481872102001019,50,6
481872102001020,54,6
481872102001013,45,6
481872101001022,62,6
481872102001023,36,6
481872102001028,56,6
481872102002020,0,5
481872102003005,18,5
481872102003001,0,5
481872101002013,26,6
481872101002033,28,6
481872102003016,19,5
481872102004014,16,5
481872102004003,26,5
481872102004018,28,5
481872102004023,4,5
481872103005017,0,5
481872108031010,0,2
481872108031014,0,2
481872105062034,146,1
481872108012005,21,4
481872104003006,12,7
481872105041084,9,2
481872104001009,167,8
481872104001024,0,8
481872108012000,0,4
481872108011081,7,3
481872109021043,51,8
481872103005054,12,5
481872105041088,0,2
481872105042030,49,7
481872104002003,110,8
481872109021044,37,8
481872103003026,0,4
481872105041049,0,2
481872105041044,0,2
481872105042008,18,1
481872105042037,0,1
481872108011080,0,3
481872109021012,32,8
481872109022025,3,7
481872103005000,37,8
481872101002014,35,6
481872101002010,3,6
481872105041067,0,2
481872103001010,458,2
481872103001011,0,2
481872101002030,0,5
481872103001015,0,2
481872102002018,2,5
481872102002017,83,5
481872103001018,88,5
481872102003013,28,5
481872102003006,36,5
481872102004011,64,5
481872103005016,9,5
481872103005056,4,5
481872103001021,35,5
481872103002012,0,5
481872108041004,69,2
481872103005051,0,5
481872103004016,0,5
481872101003021,30,7
481872101004037,0,8
481872102004022,0,5
481872101004007,24,7
481872101004034,12,7
481872103005006,14,8
481872103004005,0,8
481872103005046,0,8
481872103004027,9,4
481872101002034,30,6
481872101003002,13,6
481872101003000,4,6
481872104003013,0,7
481872103003037,0,3
481872108011023,0,2
481872108011024,0,2
481872108011066,0,3
481872109022004,0,7
481872101003018,26,7
481872101004029,9,8
481872108031017,0,2
481872103001017,109,2
481872102004006,8,5
481872103001023,19,5
481872101001001,0,6
481872102003026,66,5
481872105041083,0,2
481872108011033,0,2
481872102001007,142,6
481872101001006,3,6
481872101001008,0,6
481872103001005,0,2
481872103001012,0,2
481872103003004,0,2
481872103003003,169,3
481872104002001,138,8
481872105042069,34,1
481872103001016,0,2
481872102002022,0,5
481872102003009,5,5
481872103003013,33,4
481872102003027,43,5
481872102004026,46,5
481872103005015,0,5
481872103002018,26,4
481872103002035,24,4
481872108012015,0,3
481872108011015,0,2
481872101001027,0,6
481872108011028,0,2
481872108041046,0,2
481872108041045,0,2
481872103002010,42,5
481872103003017,13,4
481872108013024,10,3
481872103003020,74,4
481872103003023,53,4
481872105041070,0,2
481872104002036,0,8
481872108011070,40,2
481872108013007,31,3
481872102001016,47,6
481872102001026,8,6
481872102001034,0,5
481872102002021,0,5
481872102003002,0,5
481872102003000,15,5
481872101003010,19,6
481872101002027,33,6
481872102003040,12,5
481872102003004,55,5
481872102004004,48,5
481872102003032,0,5
481872102004001,15,5
481872103005011,19,5
481872103005031,0,5
481872102003035,0,5
481872102004021,1,5
481872102004030,6,5
481872101003023,15,7
481872101004015,23,7
481872108031007,0,2
481872101004049,16,8
481872101004018,53,7
481872101004019,29,7
481872101004023,31,8
481872104002023,45,8
481872103005042,53,8
481872104002021,1,8
481872104002007,8,8
481872104001006,0,8
481872104002015,11,8
481872103004023,10,5
481872103002005,0,4
481872103004031,13,4
481872103004014,11,5
481872103004028,1,4
481872108011083,10,3
481872108012030,0,3
481872108012024,30,4
481872105042067,4,7
481872105042006,52,1
481872104002017,21,8
481872109011044,0,7
481872108011013,0,2
481872109022001,0,7
481872103002030,16,5
481872108011002,0,2
481872104001011,8,8
481872102002030,61,5
481872109022006,8,7
481872105041047,2,2
481872108011032,0,2
481872104003014,40,7
481872104003018,22,7
481872103003028,0,4
481872101002001,0,7
481872105041061,0,2
481872102001001,0,1
481872105062035,52,1
481872108013012,0,3
481872102001014,51,6
481872102001022,60,6
481872102001030,76,5
481872102001012,39,6
481872101002015,17,6
481872102003021,21,5
481872102003022,35,5
481872102004005,11,5
481872102004015,0,5
481872103004037,25,4
481872101004011,14,7
481872101004012,20,7
481872101004040,18,8
481872103005020,2,5
481872103005021,12,5
481872103004004,0,8
481872103005025,35,8
481872103005002,15,8
481872101001020,102,6
481872101002016,33,6
481872101002017,20,6
481872101002020,16,6
481872101002003,94,6
481872101002019,0,6
481872108041042,0,2
481872108041044,0,2
481872108041041,0,2
481872103005049,0,5
481872103005036,0,8
481872103005048,0,8
481872103005041,13,8
481872103005045,0,8
481872101002018,69,6
481872101002006,139,6
481872101003024,43,7
481872103003031,0,3
481872108011050,0,2
481872105041065,0,2
481872105042057,6,7
481872108011060,0,3
481872108011031,0,2
481872101004032,10,7
481872101004026,22,8
481872104002019,39,8
481872101003031,16,7
481872104003028,16,7
481872104003026,27,7
481872104003025,17,7
481872108031008,0,2
481872109022007,171,7
481872105041027,35,1
481872104001007,68,8
481872104003011,4,7
481872104001008,0,8
481872105041019,6,1
481872101002022,21,6
481872103002009,0,5
481872108011038,111,2
481872102002009,181,2
481872101002007,43,6
481872101002002,161,6
481872109011179,0,7
481872109011185,0,7
481872105041093,15,1
481872105041017,76,1
481872105042066,5,7
481872105042047,0,1
481872101001010,62,6
481872101001003,0,6
481872109022013,0,7
481872103005028,14,5
481872102002004,0,2
481872108011008,0,2
481872108011007,0,2
481872103001004,6,2
481872103003005,182,3
481872102002012,17,5
481872104003004,31,7
481872104003003,0,7
481872104003024,166,7
481872108011091,0,3
481872102004020,6,5
481872105041092,0,6
481872103001006,0,2
481872108013029,9,3
481872109011181,0,7
481872105082006,204,1
481872103003032,0,3
481872108012004,26,4
481872109021022,8,8
481872109021023,0,8
481872106061019,0,1
481872104001004,369,8
481872104002012,22,8
481872104002014,0,8
481872104002006,110,8
481872104001023,41,8
481872104002026,76,4
481872103004039,74,4
481872103004041,33,4
481872108012025,32,4
481872109022016,0,7
481872101002000,4,7
481872108012027,69,4
481872108012017,9,4
481872104003009,164,7
481872104001010,44,8
481872108011046,1,2
481872108011069,25,2
481872103004021,12,8
481872105041026,144,1
481872105042039,12,1
481872105041002,102,1
481872105041001,103,1
481872105042049,15,1
481872105042046,0,1
481872101003012,18,6
481872102002029,12,5
481872102003029,46,5
481872103002036,35,4
481872104002032,0,4
481872102002003,32,5
481872102002013,44,5
481872103001003,33,2
481872103003002,51,4
481872103003009,64,4
481872103003011,34,4
481872103003014,32,4
481872103002014,40,4
481872103002015,0,4
481872102003011,16,5
481872103001020,51,5
481872108013021,26,3
481872103003025,64,4
481872108013010,33,3
481872101002008,19,6
481872108013016,9,3
481872103004044,0,4
481872102001009,59,6
481872101002011,19,6
481872101002038,16,6
481872102004025,42,5
481872102003034,0,5
481872103002004,11,5
481872105042051,32,1
481872104001017,30,8
481872108011042,254,2
481872109021019,48,8
481872105042012,31,1
481872104002044,0,4
481872103004020,0,8
481872101001002,0,6
481872102003031,8,5
481872108011020,3,2
481872101001026,0,6
481872102001000,0,1
481872108011040,0,2
481872105082013,3,1
481872104002039,19,4
481872105042043,0,1
481872108011029,0,2
481872105082003,78,1
481872105041020,465,1
481872102001021,24,1
481872102004000,5,5
481872101004052,32,8
481872101004044,21,8
481872103004003,4,8
481872103005004,22,8
481872103004010,21,8
481872103005003,49,8
481872101002025,43,6
481872101002021,17,6
481872108013002,0,3
481872108013004,0,3
481872105041028,0,1
481872105042007,3,1
481872105042023,0,1
481872108011082,24,3
481872105041004,3,1
481872109011184,0,7
481872105042031,33,7
481872108011048,114,2
481872108011086,50,3
481872102002028,60,5
481872103002029,85,5
481872103004050,0,4
481872108013018,60,3
481872108011006,0,2
481872108013019,30,3
481872108013027,25,3
481872102001002,0,1
481872101001007,39,6
481872101001011,8,6
481872101003017,43,7
481872109022024,23,7
481872102001003,0,2
481872102002006,0,2
481872102002008,360,2
481872103001014,162,2
481872105041071,0,2
481872108013028,3,3
481872102002025,25,5
481872102003008,17,5
481872102002024,14,5
481872103001000,190,5
481872103003000,20,5
481872102003018,13,5
481872102003019,58,5
481872102004029,40,5
481872103001026,31,5
481872102004013,25,5
481872103002011,44,5
481872108013025,39,3
481872103003018,25,4
481872103002016,47,4
481872103003022,61,4
481872108013008,0,3
481872103002031,84,4
481872108041023,0,2
481872108041029,0,2
481872108041032,0,2
481872108031011,0,2
481872108031000,0,2
481872109011182,0,7
481872105041045,0,2
481872105041043,0,1
481872105041039,44,1
481872105042044,0,1
481872109021020,37,8
481872105041060,0,2
481872108012016,52,3
481872102001005,0,1
481872105041050,4,2
481872102001010,81,6
481872109022014,0,7
481872101001000,0,7
481872101004054,57,8
481872101004005,31,7
481872101004047,19,8
481872103005014,0,5
481872105041068,24,2
481872102002033,22,2
481872102002014,12,5
481872103002008,34,4
481872102002034,0,2
481872108013009,25,3
481872108013015,28,3
481872102001008,65,6
481872101001017,56,6
481872101002028,36,6
481872102004016,2,5
481872102004002,9,5
481872103005030,9,5
481872103005053,0,5
481872103004008,0,5
481872103005050,0,5
481872102003036,15,5
481872101004009,19,7
481872101004010,28,7
481872101004051,22,8
481872101004035,12,7
481872101004013,7,7
481872101004042,7,8
481872101004053,24,8
481872103005022,13,8
481872103005024,5,8
481872103004006,0,5
481872103005005,41,8
481872101001014,83,6
481872101001019,67,6
481872101004004,26,7
481872101004016,28,7
481872108031020,91,2
481872105062050,47,1
481872103002037,0,4
481872103003016,19,4
481872103001001,14,5
481872102004009,24,5
481872102003023,38,5
481872102004028,39,5
481872102004027,60,5
481872102004012,25,5
481872103002028,39,5
481872103002006,26,4
481872103002022,21,4
481872103002021,27,4
481872109021048,0,3
481872108011001,2,2
481872102001018,33,6
481872102001015,38,6
481872102001029,40,6
481872101001016,74,6
481872102002023,0,5
481872101001021,113,6
481872101002031,38,6
481872102003033,0,5
481872101003008,3,6
481872101003007,3,6
481872101003014,19,6
481872101003006,0,6
481872102004017,52,5
481872102004019,0,5
481872103005013,35,5
481872102004031,21,5
481872108041022,62,2
481872101003003,15,6
481872104003015,0,7
481872104003016,0,7
481872108011025,0,2
481872105042058,31,7
481872108011034,0,2
481872108012003,0,4
481872108013003,0,3
481872105042061,0,1
481872109022030,2,7
481872101004039,14,8
481872104002020,24,8
481872104002008,14,8
481872104003027,20,7
481872104003021,0,7
481872103002007,37,4
481872103004042,50,4
481872103003027,0,4
481872103004040,42,4
481872108012026,13,4
481872105042028,23,7
481872108011078,33,3
481872105042002,17,7
481872108011079,15,3
481872108012021,22,4
481872104003001,19,7
481872109011180,0,7
481872108013001,0,3
